run,variant,fixed_horizon,step,effective_epoch,is_fixed_endpoint,train_ce,train_mae,train_rmse,train_episode_mae,train_crps,train_bias,train_entropy,train_interval90_coverage,train_interval90_width,test_ce,test_mae,test_rmse,test_episode_mae,test_crps,test_bias,test_entropy,test_interval90_coverage,test_interval90_width
piperx_insert_copper_screw-frozen_language-fixed1500-seed1000-v1,frozen_language,1500,1250,0.03531375832852919,False,1.9804495387111924,0.006881025396199091,0.011242715599972941,0.006881025396199091,0.005383166593852755,-0.001583975467318461,2.283580961770245,0.9659598214285714,0.048055244414302124,2.49457291723229,0.014624037730625008,0.02296238208453041,0.014624037730625008,0.010623126572941797,0.0016642495350294797,2.2679396267714247,0.8470982142857143,0.04670758802291987
piperx_insert_copper_screw-frozen_language-fixed1500-seed1000-v1,frozen_language,1500,1500,0.04237650999423503,True,1.9386655103215682,0.006508119233071089,0.011110369474439509,0.006508119233071089,0.005086276782045778,-0.0019127671946210154,2.26249764413972,0.9732142857142857,0.04850446299678879,2.47308498032258,0.014119529924885552,0.0218935004722594,0.014119529924885552,0.010234398092766892,0.0012702455177142319,2.246443356320794,0.8482142857142857,0.04712890506613933
piperx_insert_copper_screw-full-fixed1500-seed1000-v1,full,1500,250,0.0070627516657058385,False,3.2467145363001952,0.05542836767251304,0.06276316162949207,0.05542836767251304,0.02577679355213799,-0.053394603483736446,3.5647769159238254,0.9017857142857143,0.2776841509101879,3.3046290667594542,0.05559205716001868,0.06354603391248716,0.05559205716001868,0.026995703128055278,-0.05025860377645586,3.53789563470387,0.88671875,0.2701757797996314
piperx_insert_copper_screw-full-fixed1500-seed1000-v1,full,1500,500,0.014125503331411677,False,2.4617333889805844,0.01346319543180081,0.018649743495700637,0.01346319543180081,0.009259088161245797,-0.005431817618695537,2.7277973549041366,0.9637276785714286,0.08377231874848283,2.625065617196794,0.017680642380582867,0.025316175792078368,0.017680642380582867,0.012059381068606203,-0.0032365425426438116,2.7140275802064155,0.9419642857142857,0.083074774396664
piperx_insert_copper_screw-full-fixed1500-seed1000-v1,full,1500,750,0.021188254997117514,False,2.241573855546968,0.010444809249228066,0.015926724388056573,0.010444809249228066,0.007376193057861461,-0.0010636651272112171,2.4717098396670605,0.9704241071428571,0.059299663122926304,2.548789871091555,0.016012174153209862,0.02481954065436092,0.016012174153209862,0.011349880807090682,0.00202007800856206,2.44881827417495,0.890625,0.058030132035907754
piperx_insert_copper_screw-full-fixed1500-seed1000-v1,full,1500,1000,0.028251006662823354,False,2.0534595037211796,0.009812992365108844,0.015770898232529213,0.009812992365108844,0.00653233616682363,-0.005988185396485538,2.3400455904858455,0.96484375,0.057201449664197365,2.4961274082306772,0.014278061407042384,0.020825508629970173,0.014278061407042384,0.010248265264863221,-0.002648858988842611,2.325829530400889,0.8537946428571429,0.054176896127631026
piperx_insert_copper_screw-full-fixed1500-seed1000-v1,full,1500,1250,0.03531375832852919,False,1.89676257116454,0.006407578845288039,0.009129145875675768,0.006407578845288039,0.004943659370366861,-0.0018989099906840628,2.2259118510742804,0.9704241071428571,0.045228793536287934,2.4970997985053276,0.014140313325307423,0.021785837780549523,0.014140313325307423,0.010332689103165649,0.0016029710699772945,2.2013413368258625,0.8225446428571429,0.04354352572149115
piperx_insert_copper_screw-full-fixed1500-seed1000-v1,full,1500,1500,0.04237650999423503,True,1.8593683404781456,0.005985663786954579,0.008807804728551393,0.005985663786954579,0.0046379027146810714,-0.0016722971855155525,2.1922089620493352,0.9732142857142857,0.04464843649423399,2.503199679660611,0.013879712887501228,0.02131360442809591,0.013879712887501228,0.010161813055447055,0.0019469920903897478,2.166531921663721,0.8147321428571429,0.04266461937004351
piperx_insert_copper_screw-task_only-fixed1500-seed1000-v1,task_only,1500,250,0.0070627516657058385,False,3.010070012749306,0.03567583815518966,0.04019343055189399,0.03567583815518966,0.017525424633601818,-0.030208801611609357,3.371045710785048,0.93359375,0.1971233225735237,3.0998161291770105,0.03880746121441397,0.04436067432745792,0.03880746121441397,0.01989771981769601,-0.02795077758647884,3.3617859188733354,0.9229910714285714,0.19422432640983192
piperx_insert_copper_screw-task_only-fixed1500-seed1000-v1,task_only,1500,500,0.014125503331411677,False,2.586470616083326,0.01730076592840695,0.022067073852446488,0.01730076592840695,0.011037390536979988,-0.011534029024655215,2.8136034455549503,0.9229910714285714,0.0885909572446378,2.7845489294933423,0.021268356600038323,0.028347773224738325,0.021268356600038323,0.014043573418770652,-0.009475720126699474,2.803879724948534,0.8828125,0.08810267594994262
piperx_insert_copper_screw-task_only-fixed1500-seed1000-v1,task_only,1500,750,0.021188254997117514,False,2.229020131136557,0.010872292764491118,0.0157288035645492,0.010872292764491118,0.00742506619719409,-0.0039669234307179325,2.49597681792719,0.9581473214285714,0.06184709629191535,2.529790708845082,0.01624970344593229,0.02369521213576963,0.01624970344593229,0.011167018371159949,-0.0012862536323154927,2.4797245830829655,0.8872767857142857,0.06174944003994044
piperx_insert_copper_screw-task_only-fixed1500-seed1000-v1,task_only,1500,1000,0.028251006662823354,False,2.010766788618639,0.0077240648888619035,0.011719786972471901,0.0077240648888619035,0.005703343617938117,-0.003044748006946715,2.3030328311890895,0.9681919642857143,0.05268973099113542,2.487642268916326,0.014373188871624214,0.021905668477482116,0.014373188871624214,0.01041083885336645,0.0005335992703164395,2.279081678217543,0.8370535714285714,0.05077845876647708
piperx_insert_copper_screw-task_only-fixed1500-seed1000-v1,task_only,1500,1250,0.03531375832852919,False,1.9043154886790685,0.006769517375947284,0.009742215113610408,0.006769517375947284,0.00515721041402425,-0.0019950138855295207,2.2073434123636355,0.9665178571428571,0.044115512211387146,2.5223563885416036,0.014323176943954812,0.021844183210354896,0.014323176943954812,0.010511986740344323,0.0009058152099896688,2.1893759080142314,0.796875,0.04344307925410768
piperx_insert_copper_screw-task_only-fixed1500-seed1000-v1,task_only,1500,1500,0.04237650999423503,True,1.8599477028806828,0.0061146277296627105,0.009037350933254315,0.0061146277296627105,0.004713220975418153,-0.001794531372070196,2.1722180203734234,0.9737723214285714,0.044718190857176,2.5077590627562523,0.01381523059639481,0.02099830827065131,0.01381523059639481,0.010182122273095371,0.0011934432534742103,2.1552592475033765,0.7974330357142857,0.04417410614353555
piperx_insert_copper_screw-vision_only-fixed1500-seed1000-v1,vision_only,1500,250,0.0070627516657058385,False,2.850090303990458,0.03764548758460608,0.04185451281690293,0.03764548758460608,0.014839707533740563,-0.03559325877826528,3.351832646078297,0.94140625,0.27278180499810595,2.9377430564657385,0.03776260957654033,0.042066747675848164,0.03776260957654033,0.016528095188472695,-0.030618903385142664,3.3165261314383576,0.9313616071428571,0.2590318046610004
piperx_insert_copper_screw-vision_only-fixed1500-seed1000-v1,vision_only,1500,500,0.014125503331411677,False,2.5492662507375434,0.023623344021741235,0.03220789901848436,0.023623344021741235,0.012593051314849748,-0.021620216574644604,2.7773527391920134,0.9280133928571429,0.10983537795047076,2.7472835464868695,0.02398513046890522,0.031405122004354004,0.02398513046890522,0.014061542306697967,-0.018496733432974515,2.761206150254501,0.8688616071428571,0.10474330207164582
piperx_insert_copper_screw-vision_only-fixed1500-seed1000-v1,vision_only,1500,750,0.021188254997117514,False,2.139400123568651,0.010538774920600449,0.01452955516203681,0.010538774920600449,0.006863760672282686,-0.0030965592229352168,2.4048802977028703,0.9631696428571429,0.05514229767660644,2.555170726646403,0.016826329767354764,0.024838387182551956,0.016826329767354764,0.011434922884827106,-0.0005512772425260794,2.3860130854549686,0.8549107142857143,0.05299944044340269
piperx_insert_copper_screw-vision_only-fixed1500-seed1000-v1,vision_only,1500,1000,0.028251006662823354,False,1.9789619380940817,0.008640406098493258,0.013222750503767965,0.008640406098493258,0.0058805349516433125,-0.004817064648575199,2.2440478506032377,0.9592633928571429,0.04791573557356189,2.486880943894253,0.01426695779277257,0.020939048542861,0.01426695779277257,0.01007786764461928,-0.002239687675812872,2.2308564090303014,0.8225446428571429,0.04761997660950458
piperx_insert_copper_screw-vision_only-fixed1500-seed1000-v1,vision_only,1500,1250,0.03531375832852919,False,1.8321155223030863,0.006526722320554005,0.009429992374614813,0.006526722320554005,0.004746198157541974,-0.0022052637030875693,2.1407745027515506,0.9603794642857143,0.04118303454846942,2.4867080515084257,0.013733316179890867,0.02108416761940737,0.013733316179890867,0.010010211766338475,0.0005523980811891047,2.125187617593578,0.7907366071428571,0.040078123945672166
piperx_insert_copper_screw-vision_only-fixed1500-seed1000-v1,vision_only,1500,1500,0.04237650999423503,True,1.7785946190955915,0.005972927706612349,0.008851690840853587,0.005972927706612349,0.0043731605460704615,-0.0021425819178538014,2.11218532903253,0.9704241071428571,0.04035156142656758,2.480585411856217,0.013428070152778153,0.020619418103058403,0.013428070152778153,0.009812269539809546,0.00041594510743639797,2.0992112966986105,0.7890625,0.039520088105096614
